Employee_ID,Transaction_WID,Transaction_Effective_Date,Transaction_Entry_Moment,Transaction_Type,Compensation_Package_Proposed,Compensation_Grade_Proposed,Comp_Grade_Profile_Proposed,Compensation_Step_Proposed,Pay_Range_Minimum,Pay_Range_Midpoint,Pay_Range_Maximum,Base_Pay_Proposed_Amount,Base_Pay_Proposed_Currency,Base_Pay_Proposed_Frequency,Benefits_Annual_Rate_ABBR,Pay_Rate_Type,Compensation,Worker_Workday_ID
30006589,6acfdbfa97ee12e5612f36d0155e50b5,2025-11-29,2025-12-02 10:29:27,Change Job,STD_COMP_PKG,G04,GP_05,,92000.00,112000.00,132000.00,90762.39,CAD,Annual,90762.39,Salary,90762.39,a9b83d3329c449c1ae42cf2fd5a4653c
30006605,a4851016498bbef128cb1afa8c217520,2025-11-25,2025-11-25 13:31:44,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,USD,Annual,132000.00,Salary,132000.00,e2ac0bd536eaa346d6b14ba71bbe4c90
30006707,56bcb1a47cbce8dec868c642274cbc9a,2025-11-23,2025-11-25 08:20:47,Data Change,STD_COMP_PKG,G02,GP_02,,52000.00,62000.00,72000.00,68968.39,CAD,Annual,68968.39,Salary,68968.39,82d08d34a5ea633834b3cc887d862937
30006730,17a3e39a4d150d21271eef074e464d6e,2025-11-17,2025-11-22 14:36:53,Data Change,STD_COMP_PKG,G08,GP_09,,170000.00,215000.00,260000.00,173857.50,CAD,Annual,173857.50,Salary,173857.50,54dca501fa753fc4eb708a74997d6a19
30006821,304e0d35665131789d8f467754e6fc47,2025-11-02,2025-11-05 12:52:48,Change Job,STD_COMP_PKG,G01,GP_01,,42000.00,50000.00,58000.00,58000.00,CAD,Annual,58000.00,Salary,58000.00,03e537016232f6cef8d1f8b3b1e976ab
30006858,8248f002eb3bc8012ccd14a38678a8fb,2025-11-28,2025-11-29 09:58:40,Leave of Absence,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,87085.80,USD,Annual,87085.80,Salary,87085.80,aa97166c8813811532e1f1606693821d
30006860,f5371936952f5d116d36942727b03056,2025-11-10,2025-11-13 14:54:08,Change Job,STD_COMP_PKG,G10,GP_11,,240000.00,310000.00,380000.00,242337.81,CAD,Annual,242337.81,Salary,242337.81,a4a3ecd6daaa877333e37c0c75708f06
30006893,b01df1ac2d80a64757debc06f3cfe28f,2025-11-14,2025-11-18 16:30:51,Change Job,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,177828.14,CAD,Annual,177828.14,Salary,177828.14,8de31f4966a0629e74e42cd65ed644fb
30006901,21b54d04320aecee87f33d81e3070951,2025-11-19,2025-11-21 15:06:16,Data Change,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,111196.06,USD,Annual,111196.06,Salary,111196.06,1f450cb89a1eb75992399c8ad720f97f
30006975,ab573a37a9663b52b91ae1a5291be7a0,2025-11-12,2025-11-12 15:41:00,Data Change,STD_COMP_PKG,G06,GP_07,,125000.00,155000.00,185000.00,139082.26,CAD,Annual,139082.26,Salary,139082.26,a2e75b187388ad59bb7db4ddc5f2eb58
30007017,b2eb390fbb2b4820a931cf1aa65b3af2,2025-11-09,2025-11-11 14:36:51,Leave of Absence,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,105926.12,USD,Annual,105926.12,Salary,105926.12,889d266b2af159e6d928b68d23e39370
30007087,136a62f73e20366cde497cf1b5e99ca8,2025-11-12,2025-11-13 08:27:18,Data Change,STD_COMP_PKG,G13,GP_13,,380000.00,480000.00,580000.00,441864.36,USD,Annual,441864.36,Salary,441864.36,366c9cc3369e78ee3267fd0af97cbc71
30007089,71664e8761e1c0a012c18816fc8fa94b,2025-11-13,2025-11-18 17:46:36,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,78877.43,CAD,Annual,78877.43,Salary,78877.43,3905f46e63c64c8e058038be8d3c4f88
30007154,560a4a32acea9f20948d8b60131c00ab,2025-11-02,2025-11-04 09:08:26,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,CAD,Annual,132000.00,Salary,132000.00,a52fe0042bd27d1e5685b0ce8ba73320
30007279,962b5cbb33e2d835b73945ae1ebc3cc4,2025-11-21,2025-11-25 16:05:17,Change Job,STD_COMP_PKG,G07,GP_07,,125000.00,155000.00,185000.00,137570.59,CAD,Annual,137570.59,Salary,137570.59,96cb5e81b564f8d3c9f32cf101161802
30007301,7a0aa57eb32289b369e28c9d36e60aab,2025-11-05,2025-11-09 09:07:17,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,112000.00,CAD,Annual,112000.00,Salary,112000.00,a075f19cc641d64b20155418eb977497
30007302,b46cc5b51e6874dba675372bd2cb5a11,2025-11-22,2025-11-24 10:17:22,Change Job,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,249858.30,CAD,Annual,249858.30,Salary,249858.30,b11983ed594f2c7da934ea8dc945e7e4
