Department_ID,Department_WID,Department_Name,Dept_Name_with_Manager_Name,Active,Parent_Dept_ID,Owner_EIN,Owner_EIN_WID,Department_Level,PRIMARY_LOCATION_CODE,Type,Subtype
DEPT_CEO,5800590b3fa447048c45b7a67cd41b60,Office of the CEO,Office of the CEO,1,,,9cbe2f4e79b1b668a811aa2df5494442,1,LOC_TOR_HQ,Supervisory,Division
DEPT_CEO_001,49093e699acfec43ddbf7e38492c59d4,Office of the CEO - Strategy,Office of the CEO - Strategy,1,DEPT_CEO,,abee2bd6a27fca6738e8de3aefc7e07c,2,LOC_US_REM,Supervisory,Department
DEPT_CEO_002,8c3758e0aae51a49c156ca96717263f9,Office of the CEO - Operations,Office of the CEO - Operations,1,DEPT_CEO_001,,bf6b2c4304e87c4062be6cf4083f8561,3,LOC_NYC,Supervisory,Team
DEPT_CEO_003,c04ba7ffc880f654c321d0e071f5dfb7,Office of the CEO - Analytics,Office of the CEO - Analytics,1,DEPT_CEO_001,,058128ad44dde44452a00e9ac74bbe60,4,LOC_WIN,Supervisory,Team
DEPT_FIN,e8cd0d1144110c7ed2ffe4accb62fcad,Finance Division,Finance Division,1,DEPT_CEO,,db776c2295a4811887fb0f3888cdad4d,1,LOC_TOR_HQ,Supervisory,Division
DEPT_FIN_004,402937c073e478b70d3475040ba4980d,Finance - Strategy,Finance - Strategy,1,DEPT_FIN,,849f1efcb7b9f2fb7e3de0c6c5123034,2,LOC_TOR_FP,Supervisory,Department
DEPT_FIN_005,a77b95b62f24525691a911ab22f10ee0,Finance - Operations,Finance - Operations,1,DEPT_FIN,,7022ffb4aae62a6dbb41418c4bf94388,2,LOC_DAL,Supervisory,Department
DEPT_FIN_006,3b9b154918a201ba90a2bb694bedf73a,Finance - Analytics,Finance - Analytics,1,DEPT_FIN,,7e12d108b852c9ed0b9d1f732f404601,2,LOC_TOR_HQ,Supervisory,Department
DEPT_FIN_007,cc20472fbb03633dc229ab7c07fa1929,Finance - Delivery,Finance - Delivery,1,DEPT_FIN,,2edb5c5492d724151273d77a0e038402,2,LOC_NYC,Supervisory,Department
DEPT_FIN_008,10e8a5d5f14e8049aedb8329edc6e8c4,Finance - Support,Finance - Support,1,DEPT_FIN,,c3a7804535124e5fc4430fb5c57197e7,2,LOC_TOR_HQ,Supervisory,Department
DEPT_FIN_009,4ddc7b26d6607d7b156825b25f7e41a2,Finance - Advisory,Finance - Advisory,1,DEPT_FIN,,50eecef7a97a9e087d550e3587b83523,2,LOC_TOR_FP,Supervisory,Department
DEPT_FIN_010,3865c3f7aab6169eb215e915378e5876,Finance - Governance,Finance - Governance,1,DEPT_FIN,,ed4f4b5291eb3054652a52e7cb91b2a1,2,LOC_US_REM,Supervisory,Department
DEPT_FIN_011,0a79f3283d57fbade1e02a59088b4baa,Finance - Projects,Finance - Projects,1,DEPT_FIN_004,,89ccc5ef2a6d6f5d5cb662fba337d4ab,3,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_012,e3d0a7dbb769c6871d5acb989d1306dd,Finance - Infrastructure,Finance - Infrastructure,1,DEPT_FIN_005,,ecd5bf970c19dfef93ad74e4e7a8f79b,3,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_013,50c85db7b692e1e8bfe00627125da5c2,Finance - Client Services,Finance - Client Services,1,DEPT_FIN_006,,d22f236b855410fce60e4babc1a4a5fb,3,LOC_VAN,Supervisory,Team
DEPT_FIN_014,3e7c5cfc88d8b625685df848b47251eb,Finance - Research,Finance - Research,1,DEPT_FIN_007,,b4a1e7781a304e22a533c8cd6a4cb8ac,4,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_015,2d6816cc568269cda697c86108bcbf13,Finance - Development,Finance - Development,1,DEPT_FIN_008,,f5cdad35010a29c1a94436cdd35c0299,4,LOC_VAN,Supervisory,Team
DEPT_TECH,1a2fbf9f1623b46dccfa943617adf3fc,Technology Division,Technology Division,1,DEPT_CEO,,0019bd8a3db8919e1a7056c982cdd066,1,LOC_TOR_HQ,Supervisory,Division
