Department_ID,Department_WID,Department_Name,Dept_Name_with_Manager_Name,Active,Parent_Dept_ID,Owner_EIN,Owner_EIN_WID,Department_Level,PRIMARY_LOCATION_CODE,Type,Subtype
DEPT_CEO,5800590b3fa447048c45b7a67cd41b60,Office of the CEO,Office of the CEO (Patrick Arnold),1,,30000514,bfe5674f41dae4a9fa0f3cf97d63fb97,1,LOC_TOR_HQ,Supervisory,Division
DEPT_CEO_001,49093e699acfec43ddbf7e38492c59d4,Office of the CEO - Strategy,Office of the CEO - Strategy (Patricia Valenzuela),1,DEPT_CEO,30011604,62c54f7dd72e4a48d130c9ac2410e483,2,LOC_US_REM,Supervisory,Department
DEPT_CEO_002,8c3758e0aae51a49c156ca96717263f9,Office of the CEO - Operations,Office of the CEO - Operations (Melissa Archer),1,DEPT_CEO_001,30014228,835e9f922d534a51a05045601bc8380d,3,LOC_NYC,Supervisory,Team
DEPT_CEO_003,c04ba7ffc880f654c321d0e071f5dfb7,Office of the CEO - Analytics,Office of the CEO - Analytics (Julie Williams),1,DEPT_CEO_001,30020061,ac3f98952c01719ba92c503754e572e2,4,LOC_WIN,Supervisory,Team
DEPT_FIN,e8cd0d1144110c7ed2ffe4accb62fcad,Finance Division,Finance Division (Edward Jones),1,DEPT_CEO,30001072,ff900dc810a266c65b737de2b32d4a13,1,LOC_TOR_HQ,Supervisory,Division
DEPT_FIN_004,402937c073e478b70d3475040ba4980d,Finance - Strategy,Finance - Strategy (James Howard),1,DEPT_FIN,30002301,eab4ccc72ef519689e723fe982c5a902,2,LOC_TOR_FP,Supervisory,Department
DEPT_FIN_005,a77b95b62f24525691a911ab22f10ee0,Finance - Operations,Finance - Operations (Alexander Martin),1,DEPT_FIN,30011506,80ca072858bcc483fc16388a6913cc99,2,LOC_DAL,Supervisory,Department
DEPT_FIN_006,3b9b154918a201ba90a2bb694bedf73a,Finance - Analytics,Finance - Analytics (Cynthia Moore),1,DEPT_FIN,30015685,ab977f6fb64cf28c4c8eccbd1e1b9c8a,2,LOC_TOR_HQ,Supervisory,Department
DEPT_FIN_007,cc20472fbb03633dc229ab7c07fa1929,Finance - Delivery,Finance - Delivery (Rodney Hopkins),1,DEPT_FIN,30019033,0609ae06d187a81372591f1f1ee9a39e,2,LOC_NYC,Supervisory,Department
DEPT_FIN_008,10e8a5d5f14e8049aedb8329edc6e8c4,Finance - Support,Finance - Support (Gerald Pace),1,DEPT_FIN,30004941,567657a620b0a3786f55e268ad848ca8,2,LOC_TOR_HQ,Supervisory,Department
DEPT_FIN_009,4ddc7b26d6607d7b156825b25f7e41a2,Finance - Advisory,Finance - Advisory (Sandra Benson),1,DEPT_FIN,30013744,e8c192b36d00c16b113ac6f89f9aab62,2,LOC_TOR_FP,Supervisory,Department
DEPT_FIN_010,3865c3f7aab6169eb215e915378e5876,Finance - Governance,Finance - Governance (Robert White),1,DEPT_FIN,30020785,11e2b6ad0b46ce520b204419760a9d00,2,LOC_US_REM,Supervisory,Department
DEPT_FIN_011,0a79f3283d57fbade1e02a59088b4baa,Finance - Projects,Finance - Projects (Kelly Valentine),1,DEPT_FIN_004,30008147,5bff409ce4ee620d34e4941361b41ac4,3,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_012,e3d0a7dbb769c6871d5acb989d1306dd,Finance - Infrastructure,Finance - Infrastructure (Kimberly Hill),1,DEPT_FIN_005,30010231,5bed99a56dcce831fa10c4389b20cf28,3,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_013,50c85db7b692e1e8bfe00627125da5c2,Finance - Client Services,Finance - Client Services (Lucas Webb),1,DEPT_FIN_006,30001545,b9893c7f158435a3ae7c3e32d0fe27c5,3,LOC_VAN,Supervisory,Team
DEPT_FIN_014,3e7c5cfc88d8b625685df848b47251eb,Finance - Research,Finance - Research (Joshua Lee),1,DEPT_FIN_007,30012229,50322001b31237d0f6081119f7a61ae8,4,LOC_TOR_HQ,Supervisory,Team
DEPT_FIN_015,2d6816cc568269cda697c86108bcbf13,Finance - Development,Finance - Development (Beth Rhodes),1,DEPT_FIN_008,30018162,d00536d41dbcee1ed856dc3f695193d0,4,LOC_VAN,Supervisory,Team
DEPT_TECH,1a2fbf9f1623b46dccfa943617adf3fc,Technology Division,Technology Division (Amy Colon),1,DEPT_CEO,30000629,4517353aeda58a650b9edb5206d373d9,1,LOC_TOR_HQ,Supervisory,Division
DEPT_TECH_016,d0e738fabf3cd550e3b437395686a778,Technology - Strategy,Technology - Strategy (Tammy Jones),1,DEPT_TECH,30019762,c602289823ff158de7029b76c1b604ad,2,LOC_CHI,Supervisory,Department
DEPT_TECH_017,e210c05837b836ddc16335b1acbce455,Technology - Operations,Technology - Operations (Chad Berger),1,DEPT_TECH,30020685,65bea4d5a52b6b43d18a7414eff4c74f,2,LOC_TOR_HQ,Supervisory,Department
DEPT_TECH_018,0a4f3d54f2eb06af5641d9a0eebecb6c,Technology - Analytics,Technology - Analytics (Michael Koch),1,DEPT_TECH,30013179,ffedf1045b0a2f2e34b7c8587ef68b7a,2,LOC_CAL,Supervisory,Department
DEPT_TECH_019,38b492625ed600ae7c94387773b6b2a7,Technology - Delivery,Technology - Delivery (Jack Farmer),1,DEPT_TECH,30003211,970640199ade566c0a5e5cd8f167afc3,2,LOC_TOR_FP,Supervisory,Department
DEPT_TECH_020,1a5e0712fff60ead7c73968aa735c3e7,Technology - Support,Technology - Support (Jeffrey Grant),1,DEPT_TECH,30011783,abd9617026fa167423e174469e4ca7b4,2,LOC_TOR_HQ,Supervisory,Department
DEPT_TECH_021,5b6c37cdded4b2ca981a8f68d45ffc14,Technology - Advisory,Technology - Advisory (Matthew Wilson),1,DEPT_TECH,30007909,b3230d114fbb2905c2e42cd539b6eb58,2,LOC_NYC,Supervisory,Department
DEPT_TECH_022,4a9b920f17dd3f0761c142da2b1da904,Technology - Governance,Technology - Governance (Samantha Smith),1,DEPT_TECH,30017172,34d8df4922371c7e706809063d225a83,2,LOC_VAN,Supervisory,Department
DEPT_TECH_023,8203a3ddd03630a8b56a6b93eb119692,Technology - Projects,Technology - Projects (Luis Weiss),1,DEPT_TECH,30013787,7bbc707a166745694eeeb5fb58ab0a09,2,LOC_DAL,Supervisory,Department
DEPT_TECH_024,ec9238bb6559952da52558bfab023606,Technology - Infrastructure,Technology - Infrastructure (Gary Hernandez),1,DEPT_TECH,30020795,bb708652b84850be3113cf713afa8da2,2,LOC_SF,Supervisory,Department
DEPT_TECH_025,67e030c09260ec332c107a92388de221,Technology - Client Services,Technology - Client Services (Jennifer Griffin),1,DEPT_TECH,30017004,812deb8dfa7ed6f0041e1c41b54b38ba,2,LOC_VAN,Supervisory,Department
DEPT_TECH_026,1c0c9d91f70e275d3eeefc04e0efa668,Technology - Research,Technology - Research (Adriana Carney),1,DEPT_TECH,30011585,26f1602f94a3a680bb03b896ea29aceb,2,LOC_MTL,Supervisory,Department
DEPT_TECH_027,ab1d45466ed65274d003e10e4c964fd8,Technology - Development,Technology - Development (Charles Montgomery),1,DEPT_TECH,30019898,67f8b476404b014812081249e5a8e853,2,LOC_TOR_FP,Supervisory,Department
DEPT_TECH_028,6d637abab589023c49f3590570d61144,Technology - Planning,Technology - Planning (Sandra Paul),1,DEPT_TECH,30012374,e6c9ca12ec0c01000fb864985b313805,2,LOC_NYC,Supervisory,Department
DEPT_TECH_029,92ee59f1493451a64b1c9ee0721dead5,Technology - Integration,Technology - Integration (Gina Garcia),1,DEPT_TECH,30019672,4becbdb398310d75e5a9cbff2217941a,2,LOC_TOR_HQ,Supervisory,Department
DEPT_TECH_030,d2512604f7fbc4b4a7cc9bb44be0d903,Technology - Compliance,Technology - Compliance (Stephanie Cantrell),1,DEPT_TECH,30006513,31ce9e7caf2f179ef30f6580f01cf0a3,2,LOC_TOR_HQ,Supervisory,Department
DEPT_TECH_031,436c78d0d8460a7c96161ab847cdbd0b,Technology - Reporting,Technology - Reporting (Pamela Davis),1,DEPT_TECH_016,30010632,863aede79e5de143386564cd225260eb,3,LOC_BOS,Supervisory,Team
DEPT_TECH_032,66e3a1ae0a4256affe86e36729691a56,Technology - Processing,Technology - Processing (John Jackson),1,DEPT_TECH_017,30007610,12327b0d9a953d5c05a0d58fbdd28ba3,3,LOC_TOR_FP,Supervisory,Team
DEPT_TECH_033,cf063f5bb07ff8f594d62c11bf377de8,Technology - Trading,Technology - Trading (Cynthia Robinson),1,DEPT_TECH_018,30020038,35ce9a7591ed99404cab91770856cd68,3,LOC_CAL,Supervisory,Team
DEPT_TECH_034,82ffd73041bdf251417310ec3eb21bd2,Technology - Risk,Technology - Risk (Daniel Castaneda),1,DEPT_TECH_019,30020157,78762ce95a0fad653211cace10ed344b,3,LOC_TOR_FP,Supervisory,Team
DEPT_TECH_035,1306c9d6fbace039fc395707432a06a1,Technology - Innovation,Technology - Innovation (Shelby Rodriguez),1,DEPT_TECH_020,30004529,1cda6d46f01a7886a9232d06b642f433,3,LOC_TOR_HQ,Supervisory,Team
DEPT_TECH_036,74b36d6cecc90ae17f1d1a667c3c3a28,Technology - Quality Assurance,Technology - Quality Assurance (Alexander Franklin),1,DEPT_TECH_021,30006769,29f4926a29b2553997c06071d6054c18,3,LOC_TOR_HQ,Supervisory,Team
DEPT_TECH_037,5980e388701e23af3f77cae7981248ce,Technology - Architecture,Technology - Architecture (Patricia Logan),1,DEPT_TECH_022,30014963,02a3ad59480ba66d122497ee3f6f13ed,3,LOC_TOR_HQ,Supervisory,Team
DEPT_TECH_038,96b61f7ba65a675d5e3063c384f82e78,Technology - Engineering,Technology - Engineering (April Horton),1,DEPT_TECH_023,30009675,b91b202f1093277163b3791a09c7e7fc,4,LOC_SF,Supervisory,Team
DEPT_TECH_039,72903da7be4bac467ef8b049536610e1,Technology - Data,Technology - Data (Joan Pierce),1,DEPT_TECH_024,30014019,66132e1871aa8258878ac050c857fa5b,4,LOC_TOR_HQ,Supervisory,Team
DEPT_TECH_040,48d3e845b2c733b306076187038f81e9,Technology - Transformation,Technology - Transformation (Nicole Mccoy),1,DEPT_TECH_025,30010854,8550fcb2ff4bbc386238aaf3e78dce63,4,LOC_TOR_HQ,Supervisory,Team
DEPT_RISK,1ad7bc2dc9c8809d43df18a7da1c692f,Risk Management Division,Risk Management Division (Laura Roberts),1,DEPT_CEO,30000471,bb935ac0607088f0cf02f3381aee8f59,1,LOC_TOR_HQ,Supervisory,Division
DEPT_RISK_041,848c56adf3ee80f45fc91841774df9b9,Risk Management - Strategy,Risk Management - Strategy (Susan Waller),1,DEPT_RISK,30005854,b54f609f420da7532dc272ade7dbd902,2,LOC_TOR_HQ,Supervisory,Department
DEPT_RISK_042,773de884ac0d62d4a64e6344ea9ad7ba,Risk Management - Operations,Risk Management - Operations (Steven Morales),1,DEPT_RISK,30020119,c28c294039a210ceb880a62e0563d5a0,2,LOC_TOR_HQ,Supervisory,Department
